,articleTitle,publicationYear,doi,abstract,source
35,Using LLMs and ontologies to extract causal relationships from medical abstracts,2024,10.1016/j.procs.2024.10.219,,ScienceDirect
36,Understanding the joint effects of internal and external anthropomorphic cues of intelligent customer service bot on user satisfaction,2023,10.1016/j.dim.2023.100047,,ScienceDirect
37,Managerial framework for evaluating AI chatbot integration: Bridging organizational readiness and technological challenges,2024,10.1016/j.bushor.2024.05.004,,ScienceDirect
38,"Perceived impact of generative AI on assessments: Comparing educator and student perspectives in Australia, Cyprus, and the United States",2024,10.1016/j.caeai.2024.100269,,ScienceDirect
39,Evaluating human resources management literacy: A performance analysis of ChatGPT and bard,2024,10.1016/j.heliyon.2024.e27026,,ScienceDirect
40,Reinforcement prompting for financial synthetic data generation,2024,10.1016/j.jfds.2024.100137,,ScienceDirect
41,Mind meets machine: Unravelling GPT-4’s cognitive psychology,2023,10.1016/j.tbench.2023.100139,,ScienceDirect
42,Innovating by prompting: How to facilitate innovation in the age of generative AI,2024,10.1016/j.bushor.2024.04.014,,ScienceDirect
43,"Unveiling security, privacy, and ethical concerns of ChatGPT",2024,10.1016/j.jiixd.2023.10.007,,ScienceDirect
44,LLM technologies and information search,2024,10.1016/j.ject.2024.08.007,,ScienceDirect
45,ChatGPT or Bard: Who is a better Certified Ethical Hacker?,2024,10.1016/j.cose.2024.103804,,ScienceDirect
46,Leveraging Generative AI Tools to Support the Development of Digital Solutions in Health Care Research: Case Study,2024,10.2196/52885,,ScienceDirect
47,Evaluating Transformers and Linguistic Features integration for Author Profiling tasks in Spanish,2024,10.1016/j.datak.2024.102307,,ScienceDirect
48,"Artificial Intelligence in Medical Education: Comparative Analysis of ChatGPT, Bing, and Medical Students in Germany",2023,10.2196/46482,,ScienceDirect
49,Revolutionary text clustering: Investigating transfer learning capacity of SBERT models through pooling techniques,2024,10.1016/j.jestch.2024.101730,,ScienceDirect
50,Real Estate with AI: An agent based on LangChain,2024,10.1016/j.procs.2024.08.199,,ScienceDirect
51,AI literacy for ethical use of chatbot: Will students accept AI ethics?,2024,10.1016/j.caeai.2024.100251,,ScienceDirect
52,Conversational Chatbot for Cigarette Smoking Cessation: Results From the 11-Step User-Centered Design Development Process and Randomized Controlled Trial,2024,10.2196/57318,,ScienceDirect
53,Adoption and impacts of generative artificial intelligence: Theoretical underpinnings and research agenda,2024,10.1016/j.jjimei.2024.100232,,ScienceDirect
54,Creational and conversational AI affordances: How the new breed of chatbots is revolutionizing knowledge industries,2024,10.1016/j.bushor.2024.05.006,,ScienceDirect
55,ChatReview: A ChatGPT-enabled natural language processing framework to study domain-specific user reviews,2024,10.1016/j.mlwa.2023.100522,,ScienceDirect
56,Analyzing the potential benefits and use cases of ChatGPT as a tool for improving the efficiency and effectiveness of business operations,2023,10.1016/j.tbench.2023.100140,,ScienceDirect
57,GPT and CLT: The impact of ChatGPT's level of abstraction on consumer recommendations,2024,10.1016/j.jretconser.2023.103580,,ScienceDirect
58,Factors affecting performance expectancy and intentions to use ChatGPT: Using SmartPLS to advance an information technology acceptance framework,2024,10.1016/j.techfore.2024.123247,,ScienceDirect
59,Contrastive adversarial gender debiasing,2024,10.1016/j.nlp.2024.100092,,ScienceDirect
60,Transforming sentiment analysis in the financial domain with ChatGPT,2023,10.1016/j.mlwa.2023.100508,,ScienceDirect
61,Benchmarking ChatGPT for prototyping theories: Experimental studies using the technology acceptance model,2023,10.1016/j.tbench.2024.100153,,ScienceDirect
62,Conceptualizing generative AI as style engines: Application archetypes and implications,2024,10.1016/j.ijinfomgt.2024.102824,,ScienceDirect
63,Computer says ‘no’: Exploring systemic bias in ChatGPT using an audit approach,2024,10.1016/j.chbah.2024.100054,,ScienceDirect
64,Assessing the Role of the Generative Pretrained Transformer (GPT) in Alzheimer’s Disease Management: Comparative Study of Neurologist- and Artificial Intelligence–Generated Responses,2024,10.2196/51095,,ScienceDirect
65,"A study on ChatGPT for Industry 4.0: Background, potentials, challenges, and eventualities",2023,10.1016/j.ject.2023.08.001,,ScienceDirect
66,On the Application of Generative Artificial Intelligence ChatGPT in Digital Trade,2024,10.1016/j.procs.2024.10.014,,ScienceDirect
67,Programming with ChatGPT: How far can we go?,2024,10.1016/j.mlwa.2024.100526,,ScienceDirect
68,Unlocking the opportunities through ChatGPT Tool towards ameliorating the education system,2023,10.1016/j.tbench.2023.100115,,ScienceDirect
69,Airline reviews processing: Abstractive summarization and rating-based sentiment classification using deep transfer learning,2024,10.1016/j.jjimei.2024.100238,,ScienceDirect
70,From HAL to GenAI: Optimizing chatbot impacts with CARE,2024,10.1016/j.bushor.2024.04.012,,ScienceDirect
71,Appraisal of ChatGPT’s Aptitude for Medical Education: Comparative Analysis With Third-Year Medical Students in a Pulmonology Examination,2024,10.2196/52818,,ScienceDirect
72,Humans are still better than ChatGPT: Case of the IEEEXtreme competition,2023,10.1016/j.heliyon.2023.e21624,,ScienceDirect
73,Assessing the efficacy of ChatGPT in addressing Chinese financial conundrums: An in-depth comparative analysis of human and AI-generated responses,2023,10.1016/j.chbah.2023.100007,,ScienceDirect
74,Trajectories of AI technologies: Insights for managers,2024,10.1016/j.bushor.2024.03.002,,ScienceDirect
75,Adapting the GPT engine for proactive customer insight extraction in product development,2024,10.1016/j.mfglet.2024.09.164,,ScienceDirect
76,“Chatting with ChatGPT”: Analyzing the factors influencing users' intention to Use the Open AI's ChatGPT using the UTAUT model,2023,10.1016/j.heliyon.2023.e20962,,ScienceDirect
77,The risks of using ChatGPT to obtain common safety-related information and advice,2023,10.1016/j.ssci.2023.106244,,ScienceDirect
78,Managing a ChatGPT-empowered workforce: Understanding its affordances and side effects,2024,10.1016/j.bushor.2024.04.009,,ScienceDirect
79,Sentiment Analysis of Customer Feedback and Reviews for Airline Services using Language Representation Model,2023,10.1016/j.procs.2023.01.221,,ScienceDirect
80,"Opinion Paper: “So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research, practice and policy",2023,10.1016/j.ijinfomgt.2023.102642,,ScienceDirect
81,ChatGPT: The AI Game-Changing Revolution in Marketing Strategy for the Indonesian Cosmetic Industry,2024,10.1016/j.procs.2024.03.091,,ScienceDirect
82,The application of chatbot in gastroenterology nursing,2023,10.1016/j.gande.2023.07.003,,ScienceDirect
83,From Text to Action: NLP Techniques for Washing Machine Manual Processing,2024,10.1016/j.procs.2024.04.181,,ScienceDirect
84,"Performance of ChatGPT on UK Standardized Admission Tests: Insights From the BMAT, TMUA, LNAT, and TSA Examinations",2023,10.2196/47737,,ScienceDirect
85,"Benchmarking, ethical alignment, and evaluation framework for conversational AI: Advancing responsible development of ChatGPT",2023,10.1016/j.tbench.2023.100136,,ScienceDirect
86,Development of domain-specific automatic speech recognition models based on open-source data,2023,10.1016/j.procs.2023.12.028,,ScienceDirect
87,"An era of ChatGPT as a significant futuristic support tool: A study on features, abilities, and challenges",2022,10.1016/j.tbench.2023.100089,,ScienceDirect
88,Accelerating editorial processes in scientific journals: Leveraging AI for rapid manuscript review,2024,10.1016/j.oor.2024.100511,,ScienceDirect
89,Efficient intent classification and entity recognition for university administrative services employing deep learning models,2023,10.1016/j.iswa.2023.200247,,ScienceDirect
90,User-centric evaluation of EHR software through NLP-driven investigation: Implications for product development and user experience,2024,10.1016/j.joitmc.2023.100206,,ScienceDirect
91,"How do system and user characteristics, along with anthropomorphism, impact cognitive absorption of chatbots – Introducing SUCCAST through a mixed methods study",2024,10.1016/j.dss.2023.114132,,ScienceDirect
92,Spanish MEACorpus 2023: A multimodal speech–text corpus for emotion analysis in Spanish from natural environments,2024,10.1016/j.csi.2024.103856,,ScienceDirect
93,Implementing artificial intelligence empowered financial advisory services: A literature review and critical research agenda,2024,10.1016/j.jbusres.2023.114494,,ScienceDirect
94,A hybrid machine learning model for sentiment analysis and satisfaction assessment with Turkish universities using Twitter data,2024,10.1016/j.dajour.2024.100473,,ScienceDirect
95,A method for improving bot effectiveness by recognising implicit customer intent in contact centre conversations,2022,10.1016/j.specom.2022.07.003,,ScienceDirect
96,"Evaluating privacy, security, and trust perceptions in conversational AI: A systematic review",2024,10.1016/j.chb.2024.108344,,ScienceDirect
97,GenAI in Rule-based Systems for IoMT Security: Testing and Evaluation,2024,10.1016/j.procs.2024.09.652,,ScienceDirect
98,Aspect-based automated evaluation of dialogues,2023,10.1016/j.knosys.2023.110901,,ScienceDirect
99,Analyzing the packaging design evaluation based on image emotion perception computing,2024,10.1016/j.heliyon.2024.e31408,,ScienceDirect
100,Discovering patterns and trends in customer service technologies patents using large language model,2024,10.1016/j.heliyon.2024.e34701,,ScienceDirect
101,“Can Popular AI Large Language Models Provide Reliable Answers to Frequently Asked Questions About Rotator Cuff Tears?”,2024,10.1016/j.jseint.2024.11.012,,ScienceDirect
102,Integrating human expertise & automated methods for a dynamic and multi-parametric evaluation of large language models’ feasibility in clinical decision-making,2024,10.1016/j.ijmedinf.2024.105501,,ScienceDirect
103,Responsible Use of Large Language Models: An Analogy with the Oxford Tutorial System,2024,10.1016/j.sheji.2024.11.001,,ScienceDirect
104,Harnessing large language models to auto-evaluate the student project reports,2024,10.1016/j.caeai.2024.100268,,ScienceDirect
105,The performance of artificial intelligence-based large language models on ophthalmology-related questions in Swedish proficiency test for medicine: ChatGPT-4 omni vs Gemini 1.5 Pro,2024,10.1016/j.ajoint.2024.100070,,ScienceDirect
106,A prototype of a conversational virtual university support agent powered by a large language model that addresses inquiries about policies in the student handbook,2024,10.1016/j.procs.2024.06.278,,ScienceDirect
107,Unmasking large language models by means of OpenAI GPT-4 and Google AI: A deep instruction-based analysis,2024,10.1016/j.iswa.2024.200431,,ScienceDirect
108,A comprehensive evaluation of large Language models on benchmark biomedical text processing tasks,2024,10.1016/j.compbiomed.2024.108189,,ScienceDirect
109,Integrating local knowledge with ChatGPT-like large-scale language models for enhanced societal comprehension of carbon neutrality,2024,10.1016/j.egyai.2024.100440,,ScienceDirect
110,Large language models for air transportation: A critical review,2024,10.1016/j.jatrs.2024.100024,,ScienceDirect
111,Leveraging Large Language Models for Improved Understanding of Communications With Patients With Cancer in a Call Center Setting: Proof-of-Concept Study,2024,10.2196/63892,,ScienceDirect
112,"Generative AI and Large Language Models - Benefits, Drawbacks, Future and Recommendations",2024,10.1016/j.procs.2024.09.689,,ScienceDirect
113,Performance of Large Language Models in Patient Complaint Resolution: Web-Based Cross-Sectional Survey,2024,10.2196/56413,,ScienceDirect
114,Normalizing Swiss German Dialects with the Power of Large Language Models,2024,10.1016/j.procs.2024.10.202,,ScienceDirect
115,Unlocking employer insights: Using large language models to explore human-centric aspects in the context of industry 5.0,2024,10.1016/j.techfore.2024.123719,,ScienceDirect
116,Ontology-integrated tuning of large language model for intelligent maintenance,2024,10.1016/j.cirp.2024.04.012,,ScienceDirect
117,Claude Rules: An Evaluation of Large Language Models’ Applicability to Solve Cases in German Business Law,2024,10.1016/j.procs.2024.09.406,,ScienceDirect
118,"An Adversarial Machine Learning Approach on Securing Large Language Model with Vigil, an Open-Source Initiative",2024,10.1016/j.procs.2024.09.486,,ScienceDirect
119,Questionable devices: Applying a large language model to deliberate carbon removal,2024,10.1016/j.envsci.2024.103940,,ScienceDirect
120,LLMs in e-commerce: A comparative analysis of GPT and LLaMA models in product review evaluation,2024,10.1016/j.nlp.2024.100056,,ScienceDirect
121,How Does ChatGPT Perform on the United States Medical Licensing Examination (USMLE)? The Implications of Large Language Models for Medical Education and Knowledge Assessment,2023,10.2196/45312,,ScienceDirect
122,Customer service chatbot enhancement with attention-based transfer learning,2024,10.1016/j.knosys.2024.112293,,ScienceDirect
123,Arabic sarcasm detection: An enhanced fine-tuned language model approach,2024,10.1016/j.asej.2024.102736,,ScienceDirect
124,Considerations for adapting higher education technology courses for AI large language models: A critical review of the impact of ChatGPT,2024,10.1016/j.mlwa.2023.100513,,ScienceDirect
125,LeanContext: Cost-efficient domain-specific question answering using LLMs,2024,10.1016/j.nlp.2024.100065,,ScienceDirect
126,"LLM GPT-3.5 study for sentiment analysis across Utkarsh server, Ohio supercomputer, Google Colab and PC",2024,10.1016/j.rineng.2024.103218,,ScienceDirect
127,Framework for LLM applications in manufacturing,2024,10.1016/j.mfglet.2024.09.030,,ScienceDirect
128,Students' Use of the Artificial Intelligence Language Model in their Learning Process,2023,10.1016/j.procs.2023.10.299,,ScienceDirect
129,Enhancing Customer Support in Banking: Leveraging AI for Efficient Ticket Classification,2024,10.1016/j.procs.2024.09.235,,ScienceDirect
130,Preventing the Immense Increase in the Life-Cycle Energy and Carbon Footprints of LLM-Powered Intelligent Chatbots,2024,10.1016/j.eng.2024.04.002,,ScienceDirect
131,Classical Machine Learning and Large Models for Text-Based Emotion Recognition,2024,10.1016/j.procs.2024.08.013,,ScienceDirect
132,"The Three Sides of the Moon LLMs in Cybersecurity: Guardians, Enablers and Targets",2024,10.1016/j.procs.2024.09.653,,ScienceDirect
133,<ce:marker name=fnspdcst alt=Podcast altimg-small=fnspdcst_s.svg altimg=fnspdcst_o.svg></ce:marker>The promise and peril of using a large language model to obtain clinical information: ChatGPT performs strongly as a fertility counseling tool with limitations,2023,10.1016/j.fertnstert.2023.05.151,,ScienceDirect
134,Key technologies of artificial intelligence in electric power customer service,2021,10.1016/j.gloei.2022.01.005,,ScienceDirect
135,Using LLMs and ontologies to extract causal relationships from medical abstracts,2024,10.1016/j.procs.2024.10.219,,ScienceDirect
136,Understanding the joint effects of internal and external anthropomorphic cues of intelligent customer service bot on user satisfaction,2023,10.1016/j.dim.2023.100047,,ScienceDirect
137,Managerial framework for evaluating AI chatbot integration: Bridging organizational readiness and technological challenges,2024,10.1016/j.bushor.2024.05.004,,ScienceDirect
138,"Perceived impact of generative AI on assessments: Comparing educator and student perspectives in Australia, Cyprus, and the United States",2024,10.1016/j.caeai.2024.100269,,ScienceDirect
139,Evaluating human resources management literacy: A performance analysis of ChatGPT and bard,2024,10.1016/j.heliyon.2024.e27026,,ScienceDirect
140,Reinforcement prompting for financial synthetic data generation,2024,10.1016/j.jfds.2024.100137,,ScienceDirect
141,Mind meets machine: Unravelling GPT-4’s cognitive psychology,2023,10.1016/j.tbench.2023.100139,,ScienceDirect
142,Innovating by prompting: How to facilitate innovation in the age of generative AI,2024,10.1016/j.bushor.2024.04.014,,ScienceDirect
143,"Unveiling security, privacy, and ethical concerns of ChatGPT",2024,10.1016/j.jiixd.2023.10.007,,ScienceDirect
144,LLM technologies and information search,2024,10.1016/j.ject.2024.08.007,,ScienceDirect
145,ChatGPT or Bard: Who is a better Certified Ethical Hacker?,2024,10.1016/j.cose.2024.103804,,ScienceDirect
146,Leveraging Generative AI Tools to Support the Development of Digital Solutions in Health Care Research: Case Study,2024,10.2196/52885,,ScienceDirect
147,Evaluating Transformers and Linguistic Features integration for Author Profiling tasks in Spanish,2024,10.1016/j.datak.2024.102307,,ScienceDirect
148,"Artificial Intelligence in Medical Education: Comparative Analysis of ChatGPT, Bing, and Medical Students in Germany",2023,10.2196/46482,,ScienceDirect
149,Revolutionary text clustering: Investigating transfer learning capacity of SBERT models through pooling techniques,2024,10.1016/j.jestch.2024.101730,,ScienceDirect
150,Real Estate with AI: An agent based on LangChain,2024,10.1016/j.procs.2024.08.199,,ScienceDirect
151,AI literacy for ethical use of chatbot: Will students accept AI ethics?,2024,10.1016/j.caeai.2024.100251,,ScienceDirect
152,Conversational Chatbot for Cigarette Smoking Cessation: Results From the 11-Step User-Centered Design Development Process and Randomized Controlled Trial,2024,10.2196/57318,,ScienceDirect
153,Adoption and impacts of generative artificial intelligence: Theoretical underpinnings and research agenda,2024,10.1016/j.jjimei.2024.100232,,ScienceDirect
154,Creational and conversational AI affordances: How the new breed of chatbots is revolutionizing knowledge industries,2024,10.1016/j.bushor.2024.05.006,,ScienceDirect
155,ChatReview: A ChatGPT-enabled natural language processing framework to study domain-specific user reviews,2024,10.1016/j.mlwa.2023.100522,,ScienceDirect
156,Analyzing the potential benefits and use cases of ChatGPT as a tool for improving the efficiency and effectiveness of business operations,2023,10.1016/j.tbench.2023.100140,,ScienceDirect
157,GPT and CLT: The impact of ChatGPT's level of abstraction on consumer recommendations,2024,10.1016/j.jretconser.2023.103580,,ScienceDirect
158,Factors affecting performance expectancy and intentions to use ChatGPT: Using SmartPLS to advance an information technology acceptance framework,2024,10.1016/j.techfore.2024.123247,,ScienceDirect
159,Contrastive adversarial gender debiasing,2024,10.1016/j.nlp.2024.100092,,ScienceDirect
160,Transforming sentiment analysis in the financial domain with ChatGPT,2023,10.1016/j.mlwa.2023.100508,,ScienceDirect
161,Benchmarking ChatGPT for prototyping theories: Experimental studies using the technology acceptance model,2023,10.1016/j.tbench.2024.100153,,ScienceDirect
162,Conceptualizing generative AI as style engines: Application archetypes and implications,2024,10.1016/j.ijinfomgt.2024.102824,,ScienceDirect
163,Computer says ‘no’: Exploring systemic bias in ChatGPT using an audit approach,2024,10.1016/j.chbah.2024.100054,,ScienceDirect
164,Assessing the Role of the Generative Pretrained Transformer (GPT) in Alzheimer’s Disease Management: Comparative Study of Neurologist- and Artificial Intelligence–Generated Responses,2024,10.2196/51095,,ScienceDirect
165,"A study on ChatGPT for Industry 4.0: Background, potentials, challenges, and eventualities",2023,10.1016/j.ject.2023.08.001,,ScienceDirect
166,On the Application of Generative Artificial Intelligence ChatGPT in Digital Trade,2024,10.1016/j.procs.2024.10.014,,ScienceDirect
167,Programming with ChatGPT: How far can we go?,2024,10.1016/j.mlwa.2024.100526,,ScienceDirect
168,Unlocking the opportunities through ChatGPT Tool towards ameliorating the education system,2023,10.1016/j.tbench.2023.100115,,ScienceDirect
169,Airline reviews processing: Abstractive summarization and rating-based sentiment classification using deep transfer learning,2024,10.1016/j.jjimei.2024.100238,,ScienceDirect
170,From HAL to GenAI: Optimizing chatbot impacts with CARE,2024,10.1016/j.bushor.2024.04.012,,ScienceDirect
171,Appraisal of ChatGPT’s Aptitude for Medical Education: Comparative Analysis With Third-Year Medical Students in a Pulmonology Examination,2024,10.2196/52818,,ScienceDirect
172,Humans are still better than ChatGPT: Case of the IEEEXtreme competition,2023,10.1016/j.heliyon.2023.e21624,,ScienceDirect
173,Assessing the efficacy of ChatGPT in addressing Chinese financial conundrums: An in-depth comparative analysis of human and AI-generated responses,2023,10.1016/j.chbah.2023.100007,,ScienceDirect
174,Trajectories of AI technologies: Insights for managers,2024,10.1016/j.bushor.2024.03.002,,ScienceDirect
175,Adapting the GPT engine for proactive customer insight extraction in product development,2024,10.1016/j.mfglet.2024.09.164,,ScienceDirect
176,“Chatting with ChatGPT”: Analyzing the factors influencing users' intention to Use the Open AI's ChatGPT using the UTAUT model,2023,10.1016/j.heliyon.2023.e20962,,ScienceDirect
177,The risks of using ChatGPT to obtain common safety-related information and advice,2023,10.1016/j.ssci.2023.106244,,ScienceDirect
178,Managing a ChatGPT-empowered workforce: Understanding its affordances and side effects,2024,10.1016/j.bushor.2024.04.009,,ScienceDirect
179,Sentiment Analysis of Customer Feedback and Reviews for Airline Services using Language Representation Model,2023,10.1016/j.procs.2023.01.221,,ScienceDirect
180,"Opinion Paper: “So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research, practice and policy",2023,10.1016/j.ijinfomgt.2023.102642,,ScienceDirect
181,ChatGPT: The AI Game-Changing Revolution in Marketing Strategy for the Indonesian Cosmetic Industry,2024,10.1016/j.procs.2024.03.091,,ScienceDirect
182,The application of chatbot in gastroenterology nursing,2023,10.1016/j.gande.2023.07.003,,ScienceDirect
183,From Text to Action: NLP Techniques for Washing Machine Manual Processing,2024,10.1016/j.procs.2024.04.181,,ScienceDirect
184,"Performance of ChatGPT on UK Standardized Admission Tests: Insights From the BMAT, TMUA, LNAT, and TSA Examinations",2023,10.2196/47737,,ScienceDirect
185,"Benchmarking, ethical alignment, and evaluation framework for conversational AI: Advancing responsible development of ChatGPT",2023,10.1016/j.tbench.2023.100136,,ScienceDirect
186,Development of domain-specific automatic speech recognition models based on open-source data,2023,10.1016/j.procs.2023.12.028,,ScienceDirect
187,"An era of ChatGPT as a significant futuristic support tool: A study on features, abilities, and challenges",2022,10.1016/j.tbench.2023.100089,,ScienceDirect
188,Accelerating editorial processes in scientific journals: Leveraging AI for rapid manuscript review,2024,10.1016/j.oor.2024.100511,,ScienceDirect
189,Efficient intent classification and entity recognition for university administrative services employing deep learning models,2023,10.1016/j.iswa.2023.200247,,ScienceDirect
190,User-centric evaluation of EHR software through NLP-driven investigation: Implications for product development and user experience,2024,10.1016/j.joitmc.2023.100206,,ScienceDirect
191,"How do system and user characteristics, along with anthropomorphism, impact cognitive absorption of chatbots – Introducing SUCCAST through a mixed methods study",2024,10.1016/j.dss.2023.114132,,ScienceDirect
192,Spanish MEACorpus 2023: A multimodal speech–text corpus for emotion analysis in Spanish from natural environments,2024,10.1016/j.csi.2024.103856,,ScienceDirect
193,Implementing artificial intelligence empowered financial advisory services: A literature review and critical research agenda,2024,10.1016/j.jbusres.2023.114494,,ScienceDirect
194,A hybrid machine learning model for sentiment analysis and satisfaction assessment with Turkish universities using Twitter data,2024,10.1016/j.dajour.2024.100473,,ScienceDirect
195,A method for improving bot effectiveness by recognising implicit customer intent in contact centre conversations,2022,10.1016/j.specom.2022.07.003,,ScienceDirect
196,"Evaluating privacy, security, and trust perceptions in conversational AI: A systematic review",2024,10.1016/j.chb.2024.108344,,ScienceDirect
197,GenAI in Rule-based Systems for IoMT Security: Testing and Evaluation,2024,10.1016/j.procs.2024.09.652,,ScienceDirect
198,Aspect-based automated evaluation of dialogues,2023,10.1016/j.knosys.2023.110901,,ScienceDirect
199,Analyzing the packaging design evaluation based on image emotion perception computing,2024,10.1016/j.heliyon.2024.e31408,,ScienceDirect
200,Conversation-based hybrid UI for the repertory grid technique: A lab experiment into automation of qualitative surveys,2024,10.1016/j.ijhcs.2024.103227,,ScienceDirect
201,Definition and implementation of the Cloud Infrastructure for the integration of the Human Digital Twin in the Social Internet of Things,2024,10.1016/j.comnet.2024.110632,,ScienceDirect
202,Enhancing trust in online grocery shopping through generative AI chatbots,2024,10.1016/j.jbusres.2024.114737,,ScienceDirect
203,Speech corpus for Medina dialect,2024,10.1016/j.jksuci.2023.101864,,ScienceDirect
204,"Compulsive ChatGPT usage, anxiety, burnout, and sleep disturbance: A serial mediation model based on stimulus-organism-response perspective",2024,10.1016/j.actpsy.2024.104622,,ScienceDirect
205,From Twitter to Aso-Rock: A sentiment analysis framework for understanding Nigeria 2023 presidential election,2023,10.1016/j.heliyon.2023.e16085,,ScienceDirect
206,Making personnel selection smarter through word embeddings: A graph-based approach,2022,10.1016/j.mlwa.2021.100214,,ScienceDirect
207,Homophobia and transphobia detection for low-resourced languages in social media comments,2023,10.1016/j.nlp.2023.100041,,ScienceDirect
208,ChatGPT in the higher education: A systematic literature review and research challenges,2024,10.1016/j.ijer.2024.102411,,ScienceDirect
209,Artificial intelligence as a driver of business process transformation,2022,10.1016/j.procs.2022.11.067,,ScienceDirect
