abstract;articleTitle;doi;publicationYear;source
;-;10.1057/s41599-024-02625-1;2024.0;SpringerLink
;-;10.1007/s10796-022-10265-6;2022.0;SpringerLink
;-;10.1007/s11042-023-17769-6;2024.0;SpringerLink
;Deploying artificial intelligence in services to AID vulnerable consumers;10.1007/s11747-023-00986-8;2024.0;SpringerLink
;-;10.1007/s43681-023-00372-8;2023.0;SpringerLink
;-;10.1038/s41591-023-02289-5;2023.0;SpringerLink
;-;10.1007/s10994-023-06398-7;2024.0;SpringerLink
;-;10.1007/s10639-024-12881-y;2024.0;SpringerLink
;-;10.1007/s40593-024-00399-w;2024.0;SpringerLink
;-;10.1007/s12525-023-00673-0;2023.0;SpringerLink
;-;10.1186/s13634-023-01073-4;2023.0;SpringerLink
;-;10.1007/s10462-023-10664-4;2024.0;SpringerLink
;-;10.1007/s10115-022-01665-w;2022.0;SpringerLink
;-;10.1007/s00779-024-01823-7;2024.0;SpringerLink
;-;10.1007/s13278-022-01020-5;2023.0;SpringerLink
;-;10.1007/s42452-019-1926-x;2020.0;SpringerLink
;-;10.1007/s00264-023-05887-7;2023.0;SpringerLink
;-;10.1007/s41060-021-00278-w;2021.0;SpringerLink
;-;10.1007/s11747-023-01000-x;2024.0;SpringerLink
;-;10.1007/s10579-022-09583-7;2022.0;SpringerLink
;-;10.1186/s12859-019-3119-4;2019.0;SpringerLink
;-;10.1057/s41270-021-00128-5;2021.0;SpringerLink
;-;10.1038/s41597-024-03838-4;2024.0;SpringerLink
;-;10.1007/s10916-024-02044-4;2024.0;SpringerLink
;NLP-based platform as a service: a brief review;10.1186/s40537-022-00603-5;2022.0;SpringerLink
;-;10.1186/s41239-023-00434-1;2023.0;SpringerLink
;-;10.1038/s41598-021-91189-0;2021.0;SpringerLink
;Enhancing medical education with chatbots: a randomized controlled trial on standardized patients for colorectal cancer;10.1186/s12909-024-06530-8;2024.0;SpringerLink
;-;10.1007/s41463-024-00193-9;2024.0;SpringerLink
;-;10.1007/s11747-024-01027-8;2024.0;SpringerLink
;-;10.1631/FITEE.2100041;2022.0;SpringerLink
;-;10.1007/s10257-024-00688-w;2024.0;SpringerLink
;-;10.1038/s41598-024-59294-y;2024.0;SpringerLink
;-;10.1007/s11227-023-05319-8;2023.0;SpringerLink
;-;10.1007/s43681-022-00252-7;2023.0;SpringerLink
;-;10.1007/s11280-022-01100-8;2023.0;SpringerLink
;-;10.1057/s41599-023-02021-1;2023.0;SpringerLink
;-;10.1007/s10489-024-05455-5;2024.0;SpringerLink
;-;10.1007/s10791-022-09410-1;2022.0;SpringerLink
;-;10.1007/s10639-024-12574-6;2024.0;SpringerLink
;-;10.1007/s00607-020-00792-y;2020.0;SpringerLink
;Shaping the causes of product returns: topic modeling on online customer reviews;10.1007/s10660-024-09901-x;2024.0;SpringerLink
;Voice bots on the frontline: Voice-based interfaces enhance flow-like consumer experiences & boost service outcomes;10.1007/s11747-022-00868-5;2023.0;SpringerLink
;-;10.1007/s43681-023-00257-w;2024.0;SpringerLink
;-;10.1186/s12909-024-05760-0;2024.0;SpringerLink
;-;10.1007/s10796-022-10313-1;2022.0;SpringerLink
;Not with the bot! The relevance of trust to explain the acceptance of chatbots by insurance customers;10.1057/s41599-024-02621-5;2024.0;SpringerLink
;-;10.1186/s42400-023-00138-z;2023.0;SpringerLink
;-;10.1186/s13662-024-03836-1;2024.0;SpringerLink
;-;10.1007/s44282-024-00126-9;2024.0;SpringerLink
;-;10.1007/s00779-024-01837-1;2024.0;SpringerLink
;-;10.1007/s11365-024-00986-2;2024.0;SpringerLink
;-;10.1038/s41391-023-00750-7;2024.0;SpringerLink
;-;10.1007/s11747-023-00987-7;2024.0;SpringerLink
;-;10.1007/s44202-024-00161-2;2024.0;SpringerLink
;-;10.1007/s43681-022-00164-6;2022.0;SpringerLink
;-;10.1057/s41599-024-02962-1;2024.0;SpringerLink
;-;10.1186/s44247-024-00070-3;2024.0;SpringerLink
;-;10.1007/s11573-023-01153-9;2024.0;SpringerLink
;Discovering patterns and trends in customer service technologies patents using large language model;10.1016/j.heliyon.2024.e34701;2024.0;ScienceDirect
;-;10.1016/j.jseint.2024.11.012;2024.0;ScienceDirect
;-;10.1016/j.ijmedinf.2024.105501;2024.0;ScienceDirect
;-;10.1016/j.sheji.2024.11.001;2024.0;ScienceDirect
;-;10.1016/j.caeai.2024.100268;2024.0;ScienceDirect
;-;10.1016/j.ajoint.2024.100070;2024.0;ScienceDirect
;A prototype of a conversational virtual university support agent powered by a large language model that addresses inquiries about policies in the student handbook;10.1016/j.procs.2024.06.278;2024.0;ScienceDirect
;-;10.1016/j.iswa.2024.200431;2024.0;ScienceDirect
;-;10.1016/j.compbiomed.2024.108189;2024.0;ScienceDirect
;-;10.1016/j.egyai.2024.100440;2024.0;ScienceDirect
;-;10.1016/j.jatrs.2024.100024;2024.0;ScienceDirect
;Leveraging Large Language Models for Improved Understanding of Communications With Patients With Cancer in a Call Center Setting: Proof-of-Concept Study;10.2196/63892;2024.0;ScienceDirect
;-;10.1016/j.procs.2024.09.689;2024.0;ScienceDirect
;Performance of Large Language Models in Patient Complaint Resolution: Web-Based Cross-Sectional Survey;10.2196/56413;2024.0;ScienceDirect
;-;10.1016/j.procs.2024.10.202;2024.0;ScienceDirect
;-;10.1016/j.techfore.2024.123719;2024.0;ScienceDirect
;-;10.1016/j.cirp.2024.04.012;2024.0;ScienceDirect
;-;10.1016/j.procs.2024.09.406;2024.0;ScienceDirect
;-;10.1016/j.procs.2024.09.486;2024.0;ScienceDirect
;-;10.1016/j.envsci.2024.103940;2024.0;ScienceDirect
;LLMs in e-commerce: A comparative analysis of GPT and LLaMA models in product review evaluation;10.1016/j.nlp.2024.100056;2024.0;ScienceDirect
;-;10.2196/45312;2023.0;ScienceDirect
;Customer service chatbot enhancement with attention-based transfer learning;10.1016/j.knosys.2024.112293;2024.0;ScienceDirect
;-;10.1016/j.asej.2024.102736;2024.0;ScienceDirect
;-;10.1016/j.mlwa.2023.100513;2024.0;ScienceDirect
;-;10.1016/j.nlp.2024.100065;2024.0;ScienceDirect
;-;10.1016/j.rineng.2024.103218;2024.0;ScienceDirect
;-;10.1016/j.mfglet.2024.09.030;2024.0;ScienceDirect
;-;10.1016/j.procs.2023.10.299;2023.0;ScienceDirect
;Enhancing Customer Support in Banking: Leveraging AI for Efficient Ticket Classification;10.1016/j.procs.2024.09.235;2024.0;ScienceDirect
;-;10.1016/j.eng.2024.04.002;2024.0;ScienceDirect
;-;10.1016/j.procs.2024.08.013;2024.0;ScienceDirect
;-;10.1016/j.procs.2024.09.653;2024.0;ScienceDirect
;-;10.1016/j.fertnstert.2023.05.151;2023.0;ScienceDirect
;Key technologies of artificial intelligence in electric power customer service;10.1016/j.gloei.2022.01.005;2021.0;ScienceDirect
;-;10.1016/j.procs.2024.10.219;2024.0;ScienceDirect
;Understanding the joint effects of internal and external anthropomorphic cues of intelligent customer service bot on user satisfaction;10.1016/j.dim.2023.100047;2023.0;ScienceDirect
;-;10.1016/j.bushor.2024.05.004;2024.0;ScienceDirect
;-;10.1016/j.caeai.2024.100269;2024.0;ScienceDirect
;-;10.1016/j.heliyon.2024.e27026;2024.0;ScienceDirect
;-;10.1016/j.jfds.2024.100137;2024.0;ScienceDirect
;-;10.1016/j.tbench.2023.100139;2023.0;ScienceDirect
;-;10.1016/j.bushor.2024.04.014;2024.0;ScienceDirect
;-;10.1016/j.jiixd.2023.10.007;2024.0;ScienceDirect
;-;10.1016/j.ject.2024.08.007;2024.0;ScienceDirect
;-;10.1016/j.cose.2024.103804;2024.0;ScienceDirect
;-;10.2196/52885;2024.0;ScienceDirect
;-;10.1016/j.datak.2024.102307;2024.0;ScienceDirect
;-;10.2196/46482;2023.0;ScienceDirect
;-;10.1016/j.jestch.2024.101730;2024.0;ScienceDirect
;Real Estate with AI: An agent based on LangChain;10.1016/j.procs.2024.08.199;2024.0;ScienceDirect
;-;10.1016/j.caeai.2024.100251;2024.0;ScienceDirect
;-;10.2196/57318;2024.0;ScienceDirect
;-;10.1016/j.jjimei.2024.100232;2024.0;ScienceDirect
;Creational and conversational AI affordances: How the new breed of chatbots is revolutionizing knowledge industries;10.1016/j.bushor.2024.05.006;2024.0;ScienceDirect
;ChatReview: A ChatGPT-enabled natural language processing framework to study domain-specific user reviews;10.1016/j.mlwa.2023.100522;2024.0;ScienceDirect
;-;10.1016/j.tbench.2023.100140;2023.0;ScienceDirect
;-;10.1016/j.jretconser.2023.103580;2024.0;ScienceDirect
;-;10.1016/j.techfore.2024.123247;2024.0;ScienceDirect
;-;10.1016/j.nlp.2024.100092;2024.0;ScienceDirect
;-;10.1016/j.mlwa.2023.100508;2023.0;ScienceDirect
;-;10.1016/j.tbench.2024.100153;2023.0;ScienceDirect
;-;10.1016/j.ijinfomgt.2024.102824;2024.0;ScienceDirect
;-;10.1016/j.chbah.2024.100054;2024.0;ScienceDirect
;-;10.2196/51095;2024.0;ScienceDirect
;-;10.1016/j.ject.2023.08.001;2023.0;ScienceDirect
;-;10.1016/j.procs.2024.10.014;2024.0;ScienceDirect
;-;10.1016/j.mlwa.2024.100526;2024.0;ScienceDirect
;-;10.1016/j.tbench.2023.100115;2023.0;ScienceDirect
;-;10.1016/j.jjimei.2024.100238;2024.0;ScienceDirect
;-;10.1016/j.bushor.2024.04.012;2024.0;ScienceDirect
;-;10.2196/52818;2024.0;ScienceDirect
;-;10.1016/j.heliyon.2023.e21624;2023.0;ScienceDirect
;-;10.1016/j.chbah.2023.100007;2023.0;ScienceDirect
;-;10.1016/j.bushor.2024.03.002;2024.0;ScienceDirect
;Adapting the GPT engine for proactive customer insight extraction in product development;10.1016/j.mfglet.2024.09.164;2024.0;ScienceDirect
;-;10.1016/j.heliyon.2023.e20962;2023.0;ScienceDirect
;-;10.1016/j.ssci.2023.106244;2023.0;ScienceDirect
;-;10.1016/j.bushor.2024.04.009;2024.0;ScienceDirect
;Sentiment Analysis of Customer Feedback and Reviews for Airline Services using Language Representation Model;10.1016/j.procs.2023.01.221;2023.0;ScienceDirect
;-;10.1016/j.ijinfomgt.2023.102642;2023.0;ScienceDirect
;-;10.1016/j.procs.2024.03.091;2024.0;ScienceDirect
;-;10.1016/j.gande.2023.07.003;2023.0;ScienceDirect
;-;10.1016/j.procs.2024.04.181;2024.0;ScienceDirect
;-;10.2196/47737;2023.0;ScienceDirect
;-;10.1016/j.tbench.2023.100136;2023.0;ScienceDirect
;-;10.1016/j.procs.2023.12.028;2023.0;ScienceDirect
;-;10.1016/j.tbench.2023.100089;2022.0;ScienceDirect
;-;10.1016/j.oor.2024.100511;2024.0;ScienceDirect
;-;10.1016/j.iswa.2023.200247;2023.0;ScienceDirect
;-;10.1016/j.joitmc.2023.100206;2024.0;ScienceDirect
;-;10.1016/j.dss.2023.114132;2024.0;ScienceDirect
;-;10.1016/j.csi.2024.103856;2024.0;ScienceDirect
;-;10.1016/j.jbusres.2023.114494;2024.0;ScienceDirect
;-;10.1016/j.dajour.2024.100473;2024.0;ScienceDirect
;A method for improving bot effectiveness by recognising implicit customer intent in contact centre conversations;10.1016/j.specom.2022.07.003;2022.0;ScienceDirect
;-;10.1016/j.chb.2024.108344;2024.0;ScienceDirect
;-;10.1016/j.procs.2024.09.652;2024.0;ScienceDirect
;-;10.1016/j.knosys.2023.110901;2023.0;ScienceDirect
;-;10.1016/j.heliyon.2024.e31408;2024.0;ScienceDirect
;-;10.1016/j.ijhcs.2024.103227;2024.0;ScienceDirect
;-;10.1016/j.comnet.2024.110632;2024.0;ScienceDirect
;Enhancing trust in online grocery shopping through generative AI chatbots;10.1016/j.jbusres.2024.114737;2024.0;ScienceDirect
;-;10.1016/j.jksuci.2023.101864;2024.0;ScienceDirect
;-;10.1016/j.actpsy.2024.104622;2024.0;ScienceDirect
;-;10.1016/j.heliyon.2023.e16085;2023.0;ScienceDirect
;-;10.1016/j.mlwa.2021.100214;2022.0;ScienceDirect
;-;10.1016/j.nlp.2023.100041;2023.0;ScienceDirect
;-;10.1016/j.ijer.2024.102411;2024.0;ScienceDirect
;-;10.1016/j.procs.2022.11.067;2022.0;ScienceDirect
;-;10.1016/j.ijhcs.2023.103108;2023.0;ScienceDirect
;-;10.1016/j.procs.2023.01.175;2023.0;ScienceDirect
;-;10.1016/j.jss.2023.111829;2023.0;ScienceDirect
;-;10.1016/j.procs.2024.03.257;2024.0;ScienceDirect
;-;10.1016/j.cstp.2023.101055;2023.0;ScienceDirect
;-;10.1016/j.ijresmar.2023.08.011;2024.0;ScienceDirect
;-;10.1016/j.chbah.2024.100056;2024.0;ScienceDirect
;-;10.1016/j.procs.2023.10.453;2023.0;ScienceDirect
;-;10.1016/j.jbusres.2024.114764;2024.0;ScienceDirect
;-;10.1016/j.procs.2024.10.195;2024.0;ScienceDirect
;-;10.1016/j.joitmc.2023.100178;2024.0;ScienceDirect
;-;10.1016/j.jbusres.2024.114542;2024.0;ScienceDirect
;-;10.1016/j.techum.2024.04.001;2023.0;ScienceDirect
;-;10.1016/j.csi.2024.103849;2024.0;ScienceDirect
;-;10.1016/j.chbah.2024.100062;2024.0;ScienceDirect
;-;10.1016/j.ijis.2024.04.004;2024.0;ScienceDirect
;-;10.1016/j.procs.2021.12.260;2022.0;ScienceDirect
;-;10.1016/j.jeconc.2024.100066;2024.0;ScienceDirect
;The role of conversational AI agents in providing support and social care for isolated individuals;10.1016/j.aej.2024.07.098;2024.0;ScienceDirect
;-;10.1016/j.heliyon.2024.e25534;2024.0;ScienceDirect
;-;10.1016/j.indmarman.2023.12.011;2024.0;ScienceDirect
;Network-integrated medical chatbot for enhanced healthcare services;10.1016/j.teler.2024.100153;2024.0;ScienceDirect
;-;10.1016/j.joca.2023.11.014;2024.0;ScienceDirect
;Generative AI in Responsible Conversational Agent Integration: Guidelines for Service Managers;10.1016/j.orgdyn.2024.101045;2024.0;ScienceDirect
;-;10.1016/j.heliyon.2024.e39808;2024.0;ScienceDirect
;-;10.1016/j.ijlp.2024.101984;2024.0;ScienceDirect
;-;10.1016/j.pubrev.2024.102431;2024.0;ScienceDirect
;-;10.1016/j.eiar.2022.106819;2022.0;ScienceDirect
;-;10.1016/j.chbah.2024.100063;2024.0;ScienceDirect
;-;10.1016/j.patter.2023.100820;2023.0;ScienceDirect
;-;10.1016/j.procs.2021.06.086;2021.0;ScienceDirect
;-;10.1016/j.ijer.2023.102233;2023.0;ScienceDirect
;-;10.1016/j.ijresmar.2024.05.004;2024.0;ScienceDirect
;-;10.1016/j.csl.2020.101070;2020.0;ScienceDirect
;-;10.1016/j.procs.2023.12.121;2023.0;ScienceDirect
;-;10.1016/j.latcb.2021.100036;2021.0;ScienceDirect
;-;10.1016/j.ssaho.2024.101167;2024.0;ScienceDirect
;-;10.1016/j.dajour.2023.100302;2023.0;ScienceDirect
;-;10.2196/40922;2023.0;ScienceDirect
;-;10.1016/j.procs.2021.08.097;2021.0;ScienceDirect
;-;10.1016/j.jbusres.2022.02.048;2022.0;ScienceDirect
;-;10.1016/j.chbr.2024.100441;2024.0;ScienceDirect
;-;10.1016/j.procs.2022.12.400;2023.0;ScienceDirect
