,articleTitle,publicationYear,doi,abstract,source
29,Unveiling the evolution of generative AI (GAI): a comprehensive and investigative analysis toward LLM models (2021–2024) and beyond,2024,10.1186/s43067-024-00145-1,,SpringerLink
30,A review of natural language processing in contact centre automation,2023,10.1007/s10044-023-01182-8,,SpringerLink
31,"Explainable Generative AI (GenXAI): a survey, conceptualization, and research agenda",2024,10.1007/s10462-024-10916-x,,SpringerLink
32,Cost-efficient prompt engineering for unsupervised entity resolution in the product matching domain,2024,10.1007/s44163-024-00159-8,,SpringerLink
33,Abstracts from the 2023 Annual Meeting of the Society of General Internal Medicine,2023,10.1007/s11606-023-08226-z,,SpringerLink
34,Unlocking financial innovation through strategic investments in information management: a systematic review,2024,10.1007/s43621-024-00542-6,,SpringerLink
35,"A systematic review of aspect-based sentiment analysis: domains, methods, and trends",2024,10.1007/s10462-024-10906-z,,SpringerLink
36,Generative artificial intelligence,2023,10.1007/s12525-023-00680-1,,SpringerLink
37,Generative AI,2024,10.1007/s12599-023-00834-7,,SpringerLink
38,Conversational AI and equity through assessing GPT-3’s communication with diverse social groups on contentious topics,2024,10.1038/s41598-024-51969-w,,SpringerLink
39,AI hype as a cyber security risk: the moral responsibility of implementing generative AI in business,2024,10.1007/s43681-024-00443-4,,SpringerLink
40,From text to multimodal: a survey of adversarial example generation in question answering systems,2024,10.1007/s10115-024-02199-z,,SpringerLink
41,Reliability and accuracy of artificial intelligence ChatGPT in providing information on ophthalmic diseases and management to patients,2024,10.1038/s41433-023-02906-0,,SpringerLink
42,CERN for AI: a theoretical framework for autonomous simulation-based artificial intelligence testing and alignment,2024,10.1186/s40309-024-00238-0,,SpringerLink
43,"Perception, concerns, and practice of ChatGPT among Egyptian pharmacists: a cross-sectional study in Egypt",2024,10.1186/s12913-024-11815-1,,SpringerLink
44,Hate speech detection in the Bengali language: a comprehensive survey,2024,10.1186/s40537-024-00956-z,,SpringerLink
45,Adopting automated bug assignment in practice — a longitudinal case study at Ericsson,2024,10.1007/s10664-024-10507-y,,SpringerLink
46,The mechanisms of AI hype and its planetary and social costs,2024,10.1007/s43681-024-00461-2,,SpringerLink
47,Multi-step Transfer Learning in Natural Language Processing for the Health Domain,2024,10.1007/s11063-024-11526-y,,SpringerLink
48,Using rhetorical strategies to design prompts: a human-in-the-loop approach to make AI useful,2024,10.1007/s00146-024-01905-3,,SpringerLink
49,Conversational question answering: a survey,2022,10.1007/s10115-022-01744-y,,SpringerLink
50,The GenAI is out of the bottle: generative artificial intelligence from a business model innovation perspective,2024,10.1007/s11846-023-00696-z,,SpringerLink
51,Systematic exploration and in-depth analysis of ChatGPT architectures progression,2024,10.1007/s10462-024-10832-0,,SpringerLink
52,Intelligent extraction of reservoir dispatching information integrating large language model and structured prompts,2024,10.1038/s41598-024-64954-0,,SpringerLink
53,Exploring the opportunities and challenges of ChatGPT in academia,2024,10.1007/s44217-024-00114-w,,SpringerLink
54,Mapping the Ethics of Generative AI: A Comprehensive Scoping Review,2024,10.1007/s11023-024-09694-w,,SpringerLink
55,ChatGPT as imperfect rhetorical tool in public policy,2024,10.1007/s00146-024-02159-9,,SpringerLink
56,A survey on providing customer and public administration based services using AI: chatbot,2022,10.1007/s11042-021-11458-y,,SpringerLink
57,"Ai4tech: X-AI enabling X-Tech with human-like, generative, decentralized, humanoid and metaverse AI",2024,10.1007/s41060-024-00615-9,,SpringerLink
58,DialGNN: Heterogeneous Graph Neural Networks for Dialogue Classification,2024,10.1007/s11063-024-11595-z,,SpringerLink
59,The Three Social Dimensions of Chatbot Technology,2024,10.1007/s13347-024-00826-9,,SpringerLink
60,Large language models and their big bullshit potential,2024,10.1007/s10676-024-09802-5,,SpringerLink
61,A review on emotion detection by using deep learning techniques,2024,10.1007/s10462-024-10831-1,,SpringerLink
62,MOBI-Qual: a common framework to manage the product-service system quality of shared mobility,2024,10.1007/s10696-023-09520-y,,SpringerLink
63,Deep emotion recognition in textual conversations: a survey,2024,10.1007/s10462-024-11010-y,,SpringerLink
64,"Risk management strategy for generative AI in computing education: how to handle the strengths, weaknesses, opportunities, and threats?",2024,10.1186/s41239-024-00494-x,,SpringerLink
65,Anticipating impacts: using large-scale scenario-writing to explore diverse implications of generative AI in the news environment,2024,10.1007/s43681-024-00497-4,,SpringerLink
66,Unleashing the transformers: NLP models detect AI writing in education,2024,10.1007/s40692-024-00325-y,,SpringerLink
67,Survey of transformers and towards ensemble learning using transformers for natural language processing,2024,10.1186/s40537-023-00842-0,,SpringerLink
68,An interpretable method for automated classification of spoken transcripts and written text,2024,10.1007/s12065-023-00851-1,,SpringerLink
69,Does ChatGPT show gender bias in behavior detection?,2024,10.1057/s41599-024-04219-3,,SpringerLink
70,Between artificial intelligence and customer experience: a literature review on the intersection,2024,10.1007/s44163-024-00105-8,,SpringerLink
71,Challenges with developing and deploying AI models and applications in industrial systems,2024,10.1007/s44163-024-00151-2,,SpringerLink
72,Exploring the mechanism of sustained consumer trust in AI chatbots after service failures: a perspective based on attribution and CASA theories,2024,10.1057/s41599-024-03879-5,,SpringerLink
73,Arithmetic N-gram: an efficient data compression technique,2024,10.1007/s10791-024-09431-y,,SpringerLink
74,"Artificial intelligence powered Metaverse: analysis, challenges and future perspectives",2024,10.1007/s10462-023-10641-x,,SpringerLink
75,Detection and moderation of detrimental content on social media platforms: current status and future directions,2022,10.1007/s13278-022-00951-3,,SpringerLink
76,Future directions for chatbot research: an interdisciplinary research agenda,2021,10.1007/s00607-021-01016-7,,SpringerLink
77,Towards practical artificial intelligence in Earth sciences,2024,10.1007/s10596-024-10317-7,,SpringerLink
78,Hyper-personalized employment in urban hubs: multimodal fusion architectures for personality-based job matching,2024,10.1007/s00521-024-10587-3,,SpringerLink
79,How to keep text private? A systematic review of deep learning methods for privacy-preserving natural language processing,2023,10.1007/s10462-022-10204-6,,SpringerLink
80,Chinese dialect speech recognition: a comprehensive survey,2024,10.1007/s10462-023-10668-0,,SpringerLink
81,Answer Agnostic Question Generation in Bangla Language,2024,10.1007/s44227-023-00018-5,,SpringerLink
82,Decent deepfakes? Professional deepfake developers’ ethical considerations and their governance potential,2024,10.1007/s43681-024-00542-2,,SpringerLink
83,Designs and practices using generative AI for sustainable student discourse and knowledge creation,2023,10.1186/s40561-023-00279-1,,SpringerLink
84,Securing tomorrow: a comprehensive survey on the synergy of Artificial Intelligence and information security,2024,10.1007/s43681-024-00529-z,,SpringerLink
85,"“The ChatGPT bot is causing panic now – but it’ll soon be as mundane a tool as Excel”: analysing topics, sentiment and emotions relating to ChatGPT on Twitter",2024,10.1007/s00779-024-01811-x,,SpringerLink
86,Data-driven subjective performance evaluation: An attentive deep neural networks model based on a call centre case,2024,10.1007/s10479-022-04874-2,,SpringerLink
87,Rethinking feminized service bots: user responses to abstract and gender-ambiguous chatbot avatars in a large-scale interaction study,2024,10.1007/s00779-024-01830-8,,SpringerLink
88,Sentiment-based predictive models for online purchases in the era of marketing 5.0: a systematic review,2024,10.1186/s40537-024-00947-0,,SpringerLink
89,The HoPE Model Architecture: a Novel Approach to Pregnancy Information Retrieval Based on Conversational Agents,2022,10.1007/s41666-022-00115-0,,SpringerLink
90,The role of artificial intelligence algorithms in information systems research: a conceptual overview and avenues for research,2024,10.1007/s11301-024-00451-y,,SpringerLink
91,Argumentation effect of a chatbot for ethical discussions about autonomous AI scenarios,2024,10.1007/s10115-024-02074-x,,SpringerLink
92,Supporting SME companies in mapping out AI potential: a Finnish AI development case,2024,10.1007/s10961-024-10122-5,,SpringerLink
93,Instance segmentation on distributed deep learning big data cluster,2024,10.1186/s40537-023-00871-9,,SpringerLink
94,Harnessing the integration of chat GPT in higher education: the evaluation of stakeholders sentiments using NLP techniques,2024,10.1007/s43621-024-00774-6,,SpringerLink
95,"ChatGPT in pharmacy practice: a cross-sectional exploration of Jordanian pharmacists' perception, practice, and concerns",2023,10.1186/s40545-023-00624-2,,SpringerLink
96,"Sentiment analysis: A survey on design framework, applications and future scopes",2023,10.1007/s10462-023-10442-2,,SpringerLink
97,No man’s hand: artificial intelligence does not improve police report writing speed,2024,10.1007/s11292-024-09644-7,,SpringerLink
98,From human-centered to symbiotic artificial intelligence: a focus on medical applications,2024,10.1007/s11042-024-20414-5,,SpringerLink
99,Natural language inference model for customer advocacy detection in online customer engagement,2024,10.1007/s10994-023-06476-w,,SpringerLink
100,Data-Driven Development and Evaluation of Enskill English,2019,10.1007/s40593-019-00182-2,,SpringerLink
101,"Demystifying the Role of Natural Language Processing (NLP) in Smart City Applications: Background, Motivation, Recent Advances, and Future Research Directions",2023,10.1007/s11277-023-10312-8,,SpringerLink
102,A comprehensive literature review of the applications of AI techniques through the lifecycle of industrial equipment,2023,10.1007/s44163-023-00089-x,,SpringerLink
103,Breaking the data barrier: a review of deep learning techniques for democratizing AI with small datasets,2024,10.1007/s10462-024-10859-3,,SpringerLink
104,Healthcare students attitudes opinions perceptions and perceived obstacles regarding ChatGPT in Saudi Arabia: a survey‑based cross‑sectional study,2024,10.1038/s41598-024-73359-y,,SpringerLink
105,From the Editor,2023,10.1007/s40962-023-01025-6,,SpringerLink
106,A robust hybrid approach with product context-aware learning and explainable AI for sentiment analysis in Amazon user reviews,2024,10.1007/s10660-024-09896-5,,SpringerLink
107,Platform-independent and curriculum-oriented intelligent assistant for higher education,2023,10.1186/s41239-023-00412-7,,SpringerLink
108,"Exploring pathways to comprehension performance in multilanguage smart voice systems: insights from Lasso regression, SEM, PLS-SEM, CNN, and BiLSTM",2024,10.1057/s41599-024-04025-x,,SpringerLink
109,"Measuring Innovation in Mauritius’ ICT Sector
            Using Unsupervised Machine Learning: A Web Mining and Topic Modeling
            Approach",2024,10.1007/s13132-023-01587-0,,SpringerLink
110,Application of social media communication for museum based on the deep mediatization and artificial intelligence,2024,10.1038/s41598-024-80378-2,,SpringerLink
111,Attention-based RNN with question-aware loss and multi-level copying mechanism for natural answer generation,2024,10.1007/s40747-024-01538-5,,SpringerLink
112,Development of an artificial intelligence curriculum design for children in Taiwan and its impact on learning outcomes,2024,10.1057/s41599-024-03839-z,,SpringerLink
113,Therapeutic Chatbots as Cognitive-Affective Artifacts,2024,10.1007/s11245-024-10018-x,,SpringerLink
114,Reinforcement learning in sentiment analysis: a review and future directions,2024,10.1007/s10462-024-10967-0,,SpringerLink
115,ChatGPT as a modern tool for Bible teaching in confessional religious education: a German view,2024,10.1007/s40839-024-00244-1,,SpringerLink
116,Ethics of generative AI and manipulation: a design-oriented research agenda,2024,10.1007/s10676-024-09745-x,,SpringerLink
117,Over a decade of social opinion mining: a systematic review,2021,10.1007/s10462-021-10030-2,,SpringerLink
118,"Analyzing the past, improving the future: a multiscale opinion tracking model for optimizing business performance",2022,10.1057/s41599-022-01325-y,,SpringerLink
119,Role of AI chatbots in education: systematic literature review,2023,10.1186/s41239-023-00426-1,,SpringerLink
120,Integrating deep learning for visual question answering in Agricultural Disease Diagnostics: Case Study of Wheat Rust,2024,10.1038/s41598-024-79793-2,,SpringerLink
121,Auto Response Generation in Online Medical Chat Services,2022,10.1007/s41666-022-00118-x,,SpringerLink
122,Perspectivist approaches to natural language processing: a survey,2024,10.1007/s10579-024-09766-4,,SpringerLink
123,Looking towards an automated future: U.S. attitudes towards future artificial intelligence instantiations and their effect,2024,10.1057/s41599-024-02625-1,,SpringerLink
124,Design and Evaluation of a Conversational Agent for Facilitating Idea Generation in Organizational Innovation Processes,2022,10.1007/s10796-022-10265-6,,SpringerLink
125,Semantic speech analysis using machine learning and deep learning techniques: a comprehensive review,2024,10.1007/s11042-023-17769-6,,SpringerLink
126,Deploying artificial intelligence in services to AID vulnerable consumers,2024,10.1007/s11747-023-00986-8,,SpringerLink
127,Socialisation approach to AI value acquisition: enabling flexible ethical navigation with built-in receptiveness to social influence,2023,10.1007/s43681-023-00372-8,,SpringerLink
128,Will ChatGPT transform healthcare?,2023,10.1038/s41591-023-02289-5,,SpringerLink
129,Automotive fault nowcasting with machine learning and natural language processing,2024,10.1007/s10994-023-06398-7,,SpringerLink
130,How educational chatbots support self-regulated learning? A systematic review of the literature,2024,10.1007/s10639-024-12881-y,,SpringerLink
131,How to Improve the Explanatory Power of an Intelligent Textbook: a Case Study in Legal Writing,2024,10.1007/s40593-024-00399-w,,SpringerLink
132,Seeking empathy or suggesting a solution? Effects of chatbot messages on service failure recovery,2023,10.1007/s12525-023-00673-0,,SpringerLink
133,The construction of Bert fusion model of speech recognition and sensing for South China electricity charge service scenario,2023,10.1186/s13634-023-01073-4,,SpringerLink
134,Modeling and prediction of business success: a survey,2024,10.1007/s10462-023-10664-4,,SpringerLink
135,A survey on extraction of causal relations from natural language text,2022,10.1007/s10115-022-01665-w,,SpringerLink
136,"Self-disclosure to conversational AI: a literature review, emergent framework, and directions for future research",2024,10.1007/s00779-024-01823-7,,SpringerLink
137,Machine learning-based social media bot detection: a comprehensive literature review,2023,10.1007/s13278-022-01020-5,,SpringerLink
138,Sentiment analysis on IMDB using lexicon and neural networks,2020,10.1007/s42452-019-1926-x,,SpringerLink
139,"Two minutes of orthopaedics with ChatGPT: it is just the beginning; it’s going to be hot, hot, hot!",2023,10.1007/s00264-023-05887-7,,SpringerLink
140,Data science and AI in FinTech: an overview,2021,10.1007/s41060-021-00278-w,,SpringerLink
141,Beyond text: Marketing strategy in a world turned upside down,2024,10.1007/s11747-023-01000-x,,SpringerLink
142,DravidianCodeMix: sentiment analysis and offensive language identification dataset for Dravidian languages in code-mixed text,2022,10.1007/s10579-022-09583-7,,SpringerLink
143,A question-entailment approach to question answering,2019,10.1186/s12859-019-3119-4,,SpringerLink
144,Performing social media analytics with Brandwatch for Classrooms: a platform review,2021,10.1057/s41270-021-00128-5,,SpringerLink
145,EAV: EEG-Audio-Video Dataset for Emotion Recognition in Conversational Contexts,2024,10.1038/s41597-024-03838-4,,SpringerLink
146,"Knowledge, Perceptions and Attitude of Researchers Towards Using ChatGPT in Research",2024,10.1007/s10916-024-02044-4,,SpringerLink
147,NLP-based platform as a service: a brief review,2022,10.1186/s40537-022-00603-5,,SpringerLink
148,Students’ perceptions of using ChatGPT in a physics class as a virtual tutor,2023,10.1186/s41239-023-00434-1,,SpringerLink
149,Research on automatic labeling of imbalanced texts of customer complaints based on text enhancement and layer-by-layer semantic matching,2021,10.1038/s41598-021-91189-0,,SpringerLink
150,Enhancing medical education with chatbots: a randomized controlled trial on standardized patients for colorectal cancer,2024,10.1186/s12909-024-06530-8,,SpringerLink
151,Personalism in Generative AI Deployment: Deciding Ethically When Human Creative Expression is at Stake,2024,10.1007/s41463-024-00193-9,,SpringerLink
152,The robo bias in conversational reviews: How the solicitation medium anthropomorphism affects product rating valence and review helpfulness,2024,10.1007/s11747-024-01027-8,,SpringerLink
153,A full-process intelligent trial system for smart court,2022,10.1631/FITEE.2100041,,SpringerLink
154,Prescriptive analytics systems revised: a systematic literature review from an information systems perspective,2024,10.1007/s10257-024-00688-w,,SpringerLink
155,Emotion recognition for human–computer interaction using high-level descriptors,2024,10.1038/s41598-024-59294-y,,SpringerLink
156,Vaccine sentiment analysis using BERT + NBSVM and geo-spatial approaches,2023,10.1007/s11227-023-05319-8,,SpringerLink
157,Replika in the Metaverse: the moral problem with empathy in ‘It from Bit’,2023,10.1007/s43681-022-00252-7,,SpringerLink
158,EAGS: An extracting auxiliary knowledge graph model in multi-turn dialogue generation,2023,10.1007/s11280-022-01100-8,,SpringerLink
159,"RETRACTED ARTICLE: Customization, loneliness, and optimism: drivers of intelligent personal assistant continuance intention during COVID-19",2023,10.1057/s41599-023-02021-1,,SpringerLink
160,Revisiting clustering for efficient unsupervised dialogue structure induction,2024,10.1007/s10489-024-05455-5,,SpringerLink
161,Learning user preferences through online conversations via personalized memory transfer,2022,10.1007/s10791-022-09410-1,,SpringerLink
162,Incorporating AI in foreign language education: An investigation into ChatGPT’s effect on foreign language learners,2024,10.1007/s10639-024-12574-6,,SpringerLink
163,Recommendations from cold starts in big data,2020,10.1007/s00607-020-00792-y,,SpringerLink
164,Shaping the causes of product returns: topic modeling on online customer reviews,2024,10.1007/s10660-024-09901-x,,SpringerLink
165,Voice bots on the frontline: Voice-based interfaces enhance flow-like consumer experiences & boost service outcomes,2023,10.1007/s11747-022-00868-5,,SpringerLink
166,A pragmatic perspective on AI transparency at workplace,2024,10.1007/s43681-023-00257-w,,SpringerLink
167,Artificial intelligence in medical education - perception among medical students,2024,10.1186/s12909-024-05760-0,,SpringerLink
168,Designing and Managing Human-AI Interactions,2022,10.1007/s10796-022-10313-1,,SpringerLink
169,Not with the bot! The relevance of trust to explain the acceptance of chatbots by insurance customers,2024,10.1057/s41599-024-02621-5,,SpringerLink
170,Exploring best-matched embedding model and classifier for charging-pile fault diagnosis,2023,10.1186/s42400-023-00138-z,,SpringerLink
171,The correlative factors of enterprise culture and enterprise human resource based on data analysis and federated learning,2024,10.1186/s13662-024-03836-1,,SpringerLink
172,Social representations and multi-channel communication on crucial societal issues through the modelling approach,2024,10.1007/s44282-024-00126-9,,SpringerLink
173,Human AI conversational systems: when humans and machines start to chat,2024,10.1007/s00779-024-01837-1,,SpringerLink
174,Crossroads between Big Data and entrepreneurship: current key trends,2024,10.1007/s11365-024-00986-2,,SpringerLink
175,ChatGPT in prostate cancer: myth or reality?,2024,10.1038/s41391-023-00750-7,,SpringerLink
176,How speaking versus writing to conversational agents shapes consumers’ choice and choice satisfaction,2024,10.1007/s11747-023-00987-7,,SpringerLink
177,Personality and acceptance as predictors of ChatGPT use,2024,10.1007/s44202-024-00161-2,,SpringerLink
178,Knowledge management and ethical vulnerability in AI,2022,10.1007/s43681-022-00164-6,,SpringerLink
179,The future of the labor force: higher cognition and more skills,2024,10.1057/s41599-024-02962-1,,SpringerLink
180,What do adults living with obesity want from a chatbot for physical activity? – a qualitative study,2024,10.1186/s44247-024-00070-3,,SpringerLink
181,The role of occupational skill sets in the digital transformation: how IT progress shapes returns to specialization and social skills,2024,10.1007/s11573-023-01153-9,,SpringerLink
