,abstract,articleTitle,doi,publicationYear,source
97,,No man’s hand: artificial intelligence does not improve police report writing speed,10.1007/s11292-024-09644-7,2024.0,SpringerLink
98,,From human-centered to symbiotic artificial intelligence: a focus on medical applications,10.1007/s11042-024-20414-5,2024.0,SpringerLink
99,,Natural language inference model for customer advocacy detection in online customer engagement,10.1007/s10994-023-06476-w,2024.0,SpringerLink
100,,Data-Driven Development and Evaluation of Enskill English,10.1007/s40593-019-00182-2,2019.0,SpringerLink
101,,"Demystifying the Role of Natural Language Processing (NLP) in Smart City Applications: Background, Motivation, Recent Advances, and Future Research Directions",10.1007/s11277-023-10312-8,2023.0,SpringerLink
102,,A comprehensive literature review of the applications of AI techniques through the lifecycle of industrial equipment,10.1007/s44163-023-00089-x,2023.0,SpringerLink
103,,Breaking the data barrier: a review of deep learning techniques for democratizing AI with small datasets,10.1007/s10462-024-10859-3,2024.0,SpringerLink
104,,Healthcare students attitudes opinions perceptions and perceived obstacles regarding ChatGPT in Saudi Arabia: a survey‑based cross‑sectional study,10.1038/s41598-024-73359-y,2024.0,SpringerLink
105,,From the Editor,10.1007/s40962-023-01025-6,2023.0,SpringerLink
106,,A robust hybrid approach with product context-aware learning and explainable AI for sentiment analysis in Amazon user reviews,10.1007/s10660-024-09896-5,2024.0,SpringerLink
107,,Platform-independent and curriculum-oriented intelligent assistant for higher education,10.1186/s41239-023-00412-7,2023.0,SpringerLink
108,,"Exploring pathways to comprehension performance in multilanguage smart voice systems: insights from Lasso regression, SEM, PLS-SEM, CNN, and BiLSTM",10.1057/s41599-024-04025-x,2024.0,SpringerLink
109,,"Measuring Innovation in Mauritius’ ICT Sector
            Using Unsupervised Machine Learning: A Web Mining and Topic Modeling
            Approach",10.1007/s13132-023-01587-0,2024.0,SpringerLink
110,,Application of social media communication for museum based on the deep mediatization and artificial intelligence,10.1038/s41598-024-80378-2,2024.0,SpringerLink
111,,Attention-based RNN with question-aware loss and multi-level copying mechanism for natural answer generation,10.1007/s40747-024-01538-5,2024.0,SpringerLink
112,,Development of an artificial intelligence curriculum design for children in Taiwan and its impact on learning outcomes,10.1057/s41599-024-03839-z,2024.0,SpringerLink
113,,Therapeutic Chatbots as Cognitive-Affective Artifacts,10.1007/s11245-024-10018-x,2024.0,SpringerLink
114,,Reinforcement learning in sentiment analysis: a review and future directions,10.1007/s10462-024-10967-0,2024.0,SpringerLink
115,,ChatGPT as a modern tool for Bible teaching in confessional religious education: a German view,10.1007/s40839-024-00244-1,2024.0,SpringerLink
116,,Ethics of generative AI and manipulation: a design-oriented research agenda,10.1007/s10676-024-09745-x,2024.0,SpringerLink
117,,Over a decade of social opinion mining: a systematic review,10.1007/s10462-021-10030-2,2021.0,SpringerLink
118,,"Analyzing the past, improving the future: a multiscale opinion tracking model for optimizing business performance",10.1057/s41599-022-01325-y,2022.0,SpringerLink
119,,Role of AI chatbots in education: systematic literature review,10.1186/s41239-023-00426-1,2023.0,SpringerLink
120,,Integrating deep learning for visual question answering in Agricultural Disease Diagnostics: Case Study of Wheat Rust,10.1038/s41598-024-79793-2,2024.0,SpringerLink
121,,Auto Response Generation in Online Medical Chat Services,10.1007/s41666-022-00118-x,2022.0,SpringerLink
122,,Perspectivist approaches to natural language processing: a survey,10.1007/s10579-024-09766-4,2024.0,SpringerLink
123,,Looking towards an automated future: U.S. attitudes towards future artificial intelligence instantiations and their effect,10.1057/s41599-024-02625-1,2024.0,SpringerLink
124,,Design and Evaluation of a Conversational Agent for Facilitating Idea Generation in Organizational Innovation Processes,10.1007/s10796-022-10265-6,2022.0,SpringerLink
125,,Semantic speech analysis using machine learning and deep learning techniques: a comprehensive review,10.1007/s11042-023-17769-6,2024.0,SpringerLink
126,,Deploying artificial intelligence in services to AID vulnerable consumers,10.1007/s11747-023-00986-8,2024.0,SpringerLink
127,,Socialisation approach to AI value acquisition: enabling flexible ethical navigation with built-in receptiveness to social influence,10.1007/s43681-023-00372-8,2023.0,SpringerLink
128,,Will ChatGPT transform healthcare?,10.1038/s41591-023-02289-5,2023.0,SpringerLink
129,,Automotive fault nowcasting with machine learning and natural language processing,10.1007/s10994-023-06398-7,2024.0,SpringerLink
130,,How educational chatbots support self-regulated learning? A systematic review of the literature,10.1007/s10639-024-12881-y,2024.0,SpringerLink
131,,How to Improve the Explanatory Power of an Intelligent Textbook: a Case Study in Legal Writing,10.1007/s40593-024-00399-w,2024.0,SpringerLink
132,,Seeking empathy or suggesting a solution? Effects of chatbot messages on service failure recovery,10.1007/s12525-023-00673-0,2023.0,SpringerLink
133,,The construction of Bert fusion model of speech recognition and sensing for South China electricity charge service scenario,10.1186/s13634-023-01073-4,2023.0,SpringerLink
134,,Modeling and prediction of business success: a survey,10.1007/s10462-023-10664-4,2024.0,SpringerLink
135,,A survey on extraction of causal relations from natural language text,10.1007/s10115-022-01665-w,2022.0,SpringerLink
136,,"Self-disclosure to conversational AI: a literature review, emergent framework, and directions for future research",10.1007/s00779-024-01823-7,2024.0,SpringerLink
137,,Machine learning-based social media bot detection: a comprehensive literature review,10.1007/s13278-022-01020-5,2023.0,SpringerLink
138,,Sentiment analysis on IMDB using lexicon and neural networks,10.1007/s42452-019-1926-x,2020.0,SpringerLink
139,,"Two minutes of orthopaedics with ChatGPT: it is just the beginning; it’s going to be hot, hot, hot!",10.1007/s00264-023-05887-7,2023.0,SpringerLink
140,,Data science and AI in FinTech: an overview,10.1007/s41060-021-00278-w,2021.0,SpringerLink
141,,Beyond text: Marketing strategy in a world turned upside down,10.1007/s11747-023-01000-x,2024.0,SpringerLink
142,,DravidianCodeMix: sentiment analysis and offensive language identification dataset for Dravidian languages in code-mixed text,10.1007/s10579-022-09583-7,2022.0,SpringerLink
143,,A question-entailment approach to question answering,10.1186/s12859-019-3119-4,2019.0,SpringerLink
144,,Performing social media analytics with Brandwatch for Classrooms: a platform review,10.1057/s41270-021-00128-5,2021.0,SpringerLink
145,,EAV: EEG-Audio-Video Dataset for Emotion Recognition in Conversational Contexts,10.1038/s41597-024-03838-4,2024.0,SpringerLink
146,,"Knowledge, Perceptions and Attitude of Researchers Towards Using ChatGPT in Research",10.1007/s10916-024-02044-4,2024.0,SpringerLink
147,,NLP-based platform as a service: a brief review,10.1186/s40537-022-00603-5,2022.0,SpringerLink
148,,Students’ perceptions of using ChatGPT in a physics class as a virtual tutor,10.1186/s41239-023-00434-1,2023.0,SpringerLink
149,,Research on automatic labeling of imbalanced texts of customer complaints based on text enhancement and layer-by-layer semantic matching,10.1038/s41598-021-91189-0,2021.0,SpringerLink
150,,Enhancing medical education with chatbots: a randomized controlled trial on standardized patients for colorectal cancer,10.1186/s12909-024-06530-8,2024.0,SpringerLink
151,,Personalism in Generative AI Deployment: Deciding Ethically When Human Creative Expression is at Stake,10.1007/s41463-024-00193-9,2024.0,SpringerLink
152,,The robo bias in conversational reviews: How the solicitation medium anthropomorphism affects product rating valence and review helpfulness,10.1007/s11747-024-01027-8,2024.0,SpringerLink
153,,A full-process intelligent trial system for smart court,10.1631/FITEE.2100041,2022.0,SpringerLink
154,,Prescriptive analytics systems revised: a systematic literature review from an information systems perspective,10.1007/s10257-024-00688-w,2024.0,SpringerLink
155,,Emotion recognition for human–computer interaction using high-level descriptors,10.1038/s41598-024-59294-y,2024.0,SpringerLink
156,,Vaccine sentiment analysis using BERT + NBSVM and geo-spatial approaches,10.1007/s11227-023-05319-8,2023.0,SpringerLink
157,,Replika in the Metaverse: the moral problem with empathy in ‘It from Bit’,10.1007/s43681-022-00252-7,2023.0,SpringerLink
158,,EAGS: An extracting auxiliary knowledge graph model in multi-turn dialogue generation,10.1007/s11280-022-01100-8,2023.0,SpringerLink
159,,"RETRACTED ARTICLE: Customization, loneliness, and optimism: drivers of intelligent personal assistant continuance intention during COVID-19",10.1057/s41599-023-02021-1,2023.0,SpringerLink
160,,Revisiting clustering for efficient unsupervised dialogue structure induction,10.1007/s10489-024-05455-5,2024.0,SpringerLink
161,,Learning user preferences through online conversations via personalized memory transfer,10.1007/s10791-022-09410-1,2022.0,SpringerLink
162,,Incorporating AI in foreign language education: An investigation into ChatGPT’s effect on foreign language learners,10.1007/s10639-024-12574-6,2024.0,SpringerLink
163,,Recommendations from cold starts in big data,10.1007/s00607-020-00792-y,2020.0,SpringerLink
164,,Shaping the causes of product returns: topic modeling on online customer reviews,10.1007/s10660-024-09901-x,2024.0,SpringerLink
165,,Voice bots on the frontline: Voice-based interfaces enhance flow-like consumer experiences & boost service outcomes,10.1007/s11747-022-00868-5,2023.0,SpringerLink
166,,A pragmatic perspective on AI transparency at workplace,10.1007/s43681-023-00257-w,2024.0,SpringerLink
167,,Artificial intelligence in medical education - perception among medical students,10.1186/s12909-024-05760-0,2024.0,SpringerLink
168,,Designing and Managing Human-AI Interactions,10.1007/s10796-022-10313-1,2022.0,SpringerLink
169,,Not with the bot! The relevance of trust to explain the acceptance of chatbots by insurance customers,10.1057/s41599-024-02621-5,2024.0,SpringerLink
170,,Exploring best-matched embedding model and classifier for charging-pile fault diagnosis,10.1186/s42400-023-00138-z,2023.0,SpringerLink
171,,The correlative factors of enterprise culture and enterprise human resource based on data analysis and federated learning,10.1186/s13662-024-03836-1,2024.0,SpringerLink
172,,Social representations and multi-channel communication on crucial societal issues through the modelling approach,10.1007/s44282-024-00126-9,2024.0,SpringerLink
173,,Human AI conversational systems: when humans and machines start to chat,10.1007/s00779-024-01837-1,2024.0,SpringerLink
174,,Crossroads between Big Data and entrepreneurship: current key trends,10.1007/s11365-024-00986-2,2024.0,SpringerLink
175,,ChatGPT in prostate cancer: myth or reality?,10.1038/s41391-023-00750-7,2024.0,SpringerLink
176,,How speaking versus writing to conversational agents shapes consumers’ choice and choice satisfaction,10.1007/s11747-023-00987-7,2024.0,SpringerLink
177,,Personality and acceptance as predictors of ChatGPT use,10.1007/s44202-024-00161-2,2024.0,SpringerLink
178,,Knowledge management and ethical vulnerability in AI,10.1007/s43681-022-00164-6,2022.0,SpringerLink
179,,The future of the labor force: higher cognition and more skills,10.1057/s41599-024-02962-1,2024.0,SpringerLink
180,,What do adults living with obesity want from a chatbot for physical activity? – a qualitative study,10.1186/s44247-024-00070-3,2024.0,SpringerLink
181,,The role of occupational skill sets in the digital transformation: how IT progress shapes returns to specialization and social skills,10.1007/s11573-023-01153-9,2024.0,SpringerLink
